순위,마일리지,신청과목수,졸업신청,초수강여부,총이수학점/졸업이수학점,직전학기이수학점/학기당수강학점,학년,수강여부
1,36,6,Y,Y,1.0000,1.0000,4,O
2,36,6,Y,Y,1.0000,1.0000,4,O
3,36,6,Y,Y,1.0000,0.7894,4,O
4,36,6,Y,Y,1.0000,0.1666,4,O
5,36,6,Y,Y,0.9841,0.8333,4,O
6,36,6,Y,Y,0.9761,0.8888,4,O
7,36,6,Y,Y,0.9682,1.0000,4,O
8,36,6,Y,Y,0.9642,1.0000,4,O
9,36,6,Y,Y,0.9603,1.0000,4,O
10,36,6,Y,Y,0.9603,0.6666,4,O
11,36,6,Y,Y,0.9571,0.9473,4,O
12,36,6,Y,Y,0.9333,0.7894,4,O
13,36,6,Y,Y,0.9285,0.9444,4,O
14,36,6,Y,Y,0.9206,0.8888,4,O
15,36,6,Y,Y,0.9206,0.8333,4,O
16,36,6,Y,Y,0.9071,0.9473,4,O
17,36,6,Y,Y,0.8888,1.0000,4,O
18,36,6,Y,Y,0.8730,1.0000,4,O
19,36,6,Y,Y,0.8444,1.0000,4,O
20,36,6,N,Y,0.8740,0.0000,4,O
21,36,6,N,Y,0.8714,1.0000,4,O
22,36,6,N,Y,0.8650,0.6666,4,O
23,36,6,N,Y,0.8642,0.9473,4,O
24,36,6,N,Y,0.8642,0.4736,4,O
25,36,6,N,Y,0.8592,0.6315,4,O
26,36,6,N,Y,0.8518,1.0000,4,O
27,36,6,N,Y,0.8253,0.8809,4,O
28,36,6,N,Y,0.8095,0.8333,4,O
29,36,6,N,Y,0.8074,1.0000,4,O
30,36,6,N,Y,0.8000,0.9473,4,O
31,36,6,N,Y,0.7857,1.0000,4,O
32,36,6,N,Y,0.7785,0.9473,4,O
33,36,6,N,Y,0.7777,0.9444,4,O
34,36,6,N,Y,0.7714,1.0000,4,O
35,36,6,N,Y,0.7703,1.0000,4,O
36,36,6,N,Y,0.7642,0.9736,4,O
37,36,6,N,Y,0.7592,0.8684,4,O
38,36,6,N,Y,0.7388,0.8157,4,O
39,36,6,N,Y,0.6071,1.0000,3,O
40,36,6,N,Y,0.5851,1.0000,3,O
41,36,6,N,Y,0.5793,1.0000,3,O
42,36,6,N,Y,0.5714,1.0000,3,O
43,36,6,N,Y,0.5555,1.0000,3,O
44,36,6,N,Y,0.5357,0.8611,3,O
45,36,6,N,Y,0.5285,0.8157,3,O
46,36,6,N,Y,0.5071,0.9736,3,O
47,36,6,N,Y,0.4484,0.6578,3,O
48,36,6,N,Y,0.4210,0.8750,2,O
49,36,6,N,Y,0.3452,0.6944,2,O
50,36,6,N,Y,0.3174,1.0000,2,O
51,36,6,N,Y,0.2936,0.7777,2,O
52,36,6,N,Y,0.2896,1.0000,2,O
53,36,6,N,Y,0.2857,0.8888,2,O
54,36,6,N,Y,0.2814,1.0000,2,O
55,36,6,N,Y,0.2785,1.0000,2,O
56,36,6,N,Y,0.2714,1.0000,2,O
57,36,6,N,Y,0.2607,1.0000,2,O
58,36,6,N,Y,0.2539,0.8333,2,O
59,36,6,N,Y,0.1964,0.7105,2,O
60,36,6,N,N,0.2285,0.7631,2,O
61,36,5,Y,Y,0.8962,0.8947,4,O
62,36,5,N,Y,0.7714,0.9473,4,O
63,36,5,N,Y,0.7464,1.0000,4,O
64,36,5,N,Y,0.7071,0.7894,4,O
65,36,5,N,Y,0.6750,0.9736,3,O
66,36,5,N,Y,0.6642,0.7894,4,O
67,36,5,N,Y,0.5250,0.9736,3,O
68,36,4,Y,Y,0.9365,1.0000,4,O
69,36,4,Y,Y,0.9206,0.0555,4,O
70,36,4,Y,Y,0.9047,0.8333,4,O
71,36,4,N,Y,1.0000,0.9473,4,O
72,36,4,N,Y,0.4126,0.7777,2,O
73,36,3,Y,Y,0.9444,0.6666,4,O
74,36,3,Y,Y,0.9428,0.7894,4,O
75,36,2,Y,Y,1.0000,0.1578,4,O
76,36,2,Y,Y,0.9761,0.9444,4,O
77,36,2,Y,Y,0.9365,0.8333,4,O
78,36,2,N,Y,1.0000,0.7894,4,O
79,36,2,N,Y,0.8015,1.0000,4,O
80,36,2,N,Y,0.4960,0.8333,3,O
81,36,1,Y,Y,1.0000,0.6315,4,O
82,36,1,Y,Y,1.0000,0.1578,4,O
83,36,1,Y,Y,0.9964,0.8421,4,O
84,36,1,Y,Y,0.9925,0.4736,4,O
85,36,1,Y,Y,0.9785,0.9473,4,O
86,36,1,Y,Y,0.9761,0.1666,4,O
87,35,6,Y,Y,0.9777,0.7894,4,O
88,35,6,Y,Y,0.8370,0.8684,4,O
89,35,6,N,Y,0.8650,0.8888,4,O
90,35,6,N,Y,0.8142,1.0000,4,O
91,35,6,N,Y,0.8142,1.0000,4,O
92,35,6,N,Y,0.8095,0.8809,4,O
93,35,6,N,Y,0.7777,1.0000,4,O
94,35,6,N,Y,0.5107,0.9473,3,O
95,35,6,N,Y,0.4166,0.8611,2,O
96,35,6,N,Y,0.4107,1.0000,2,O
97,35,6,N,Y,0.2500,0.9210,2,O
98,35,5,Y,Y,0.8888,1.0000,4,O
99,35,4,Y,Y,1.0000,1.0000,4,O
100,35,4,Y,Y,0.9357,0.6315,4,O
101,35,3,Y,Y,1.0000,0.1666,4,O
102,35,3,Y,Y,0.9761,0.8333,4,O
103,35,3,Y,Y,0.9750,0.4210,4,O
104,35,3,Y,Y,0.9703,1.0000,4,O
105,35,2,Y,Y,0.9523,1.0000,4,O
106,35,2,N,Y,0.5370,1.0000,3,O
107,34,6,Y,Y,0.8968,0.6666,4,O
108,34,6,N,Y,0.5263,0.6250,2,O
109,34,6,N,Y,0.5071,0.9736,3,O
